REQ_ID	SOURCE	SOURCE_LOCATION	OWNER_REQUIREMENT_TEXT	CONTENT_LIBRARY_SCOPE	CURRENT_IMPLEMENTATION_LOCATION	CURRENT_TEST_LOCATION	CURRENT_UI_LOCATION	CURRENT_PERSISTENCE_LOCATION	STATUS	GAP_CLASS	NOTES
AT-011	OWNER_RUN_V2	9 Field authority; lines 472-502	Authority-only fields deny AMEC edit AI prefill and generic apply; blank differs from NA.	seam	FieldAuthorityRule/Form mapping | governed_prefill/source18 | prefill/packet routes	adversarial tests	authority UI	field/evidence tables	PASS	NONE	Source18/Evidence; negative=AUTHORITY_ONLY is never AMEC-authored; evidence=field negatives
AT-012	OWNER_RUN_V2	10 Deterministic resolution; lines 504-540	Resolution uses family purpose consumer context currentness and active state.	core	item+binding+version | master_content | resolver routes	resolver convergence	resolver UI	binding/version tables	PARTIAL	CL_RESOLVER_GAP	Full applicability-context selection is an owner-domain seam; library resolver must remain deterministic and fail closed.
AT-013	OWNER_RUN_V2	11 Requirements engine seam; lines 542-612	Requirements engine owns applicability and Project Requirement Items.	out-of-scope	RequirementDefinition/RequirementInstance | requirements/preparation | requirements routes	shared foundations	project checklist UI	requirement tables	NOT_APPLICABLE	NONE	Requirements/Project; negative=Form cannot create Project requirement truth; evidence=requirements tests
AT-014	OWNER_RUN_V2	11 Required states; lines 570-612	Project states do not collapse from REQUESTED through SUPERSEDED.	out-of-scope	RequirementInstance | preparation | preparation routes	preparation tests	project UI	requirement_instances	NOT_APPLICABLE	NONE	Requirements/Project; negative=RECEIVED is not VERIFIED; evidence=project tests
AT-015	OWNER_RUN_V2	12 Dynamic requirements; lines 614-638	New rules reopen readiness without deleting prior verified evidence.	out-of-scope	RequirementSet/Item | requirements/preparation | requirements routes	requirements tests	project UI	requirement history	NOT_APPLICABLE	NONE	Requirements/Project; negative=new requirement cannot delete evidence; evidence=requirements tests
AT-016	OWNER_RUN_V2	13 Project checklist; lines 640-663	Client checklist projects requirement items and visual marks are not truth.	out-of-scope	RequirementInstance | preparation | preparation routes	preparation tests	project checklist UI	project tables	NOT_APPLICABLE	NONE	Project; negative=uploaded checklist is not canonical; evidence=project tests
AT-017	OWNER_RUN_V2	14 Evidence verification; lines 665-695	Evidence validity identity expiry and human verification are owner-domain controls.	out-of-scope	Document/FieldObservation/VerifiedAssertion | evidence services | evidence routes	evidence tests	evidence UI	evidence tables	NOT_APPLICABLE	NONE	Evidence/Document; negative=AI extraction is not verification; evidence=evidence tests
AT-018	OWNER_RUN_V2	15 Verified prefill; lines 697-727	Prefill follows source artifact observation human verification assertion eligible field.	seam	VerifiedAssertion/governance profile | governed_prefill | prefill routes	prefill adversarial	prefill UI	evidence tables	PASS	NONE	Evidence; negative=model output cannot mutate canonical truth; evidence=prefill tests
AT-019	OWNER_RUN_V2	16 Packet consumption; lines 729-774	Official form flows through AuthorityCase and immutable SubmissionPackage revisions.	out-of-scope seam	AuthorityCase/SubmissionPackage | source18 | packet routes	Source18 tests	packet UI	packet tables	NOT_APPLICABLE	NONE	Permit/Source18; negative=submitted packet cannot be overwritten; evidence=packet tests
AT-020	OWNER_RUN_V2	17 Human authority; lines 776-797	Automation cannot sign stamp approve release or submit; exact packet hash binds release.	seam	packet/approval models | source18/engineering | protected action routes	negative suites	approval UI	approval/packet tables	PASS	NONE	Permit/Engineering; negative=automation cannot acquire authority; evidence=protected tests
AT-021	OWNER_RUN_V2	18 Reports; lines 799-832	Reusable report definitions are distinct from Project Technical Reports.	seam	MasterContentItem + report artifacts | master_content/engineering | report routes	engineering tests	report UI	library/project tables	PASS	NONE	Reports/Engineering; negative=template status is not professional approval; evidence=report tests
AT-022	OWNER_RUN_V2	19 Engineering Works; lines 834-861	Reusable Engineering Work defines expectations; Engineering owns approval/baselines.	seam	ENGINEERING_WORK item | master_content/engineering | engineering routes	consumer convergence	engineering UI	library/engineering tables	PASS	NONE	Engineering; negative=approval-required is not approved; evidence=engineering tests
AT-023	OWNER_RUN_V2	20 Definitions; lines 863-884	Definitions are structured governed searchable current and revisioned.	core	DefinitionEntry/Revision | master_content | definition routes	definition tests	Definitions UI	definition tables	PASS	NONE	Definitions; negative=old revision remains immutable; evidence=definition tests
AT-024	OWNER_RUN_V2	21 Letterhead/correspondence; lines 886-918	Library may own reusable letterhead; organization facts and correspondence stay elsewhere.	seam	Form/DocumentVersion | master_content/construction | master/correspondence routes	construction tests	library/correspondence UI	library/correspondence tables	PARTIAL	EVIDENCE_GAP	Dedicated letterhead adapter is not proven in the pinned base; no correspondence system is to be created here.
AT-025	OWNER_RUN_V2	22 Drawing approval; lines 920-937	Exact client-approved drawing revision belongs to Engineering/Project.	out-of-scope	EngineeringRevision/ApprovedDesignBaseline | engineering | engineering routes	engineering tests	engineering UI	engineering tables	NOT_APPLICABLE	NONE	Engineering/Project; negative=library content cannot equal approved drawing; evidence=engineering tests
AT-026	OWNER_RUN_V2	23 Handover; lines 939-952	Library may supply handover templates; Handover owns delivery state.	out-of-scope	Handover models | handover | handover routes	handover tests	handover UI	handover tables	NOT_APPLICABLE	NONE	Handover; negative=template cannot accept handover; evidence=consumer tests
AT-027	OWNER_RUN_V2	24 Proposal/BD; lines 954-975	Proposal templates and methodology resolve through canonical service; BD cannot write.	core	item+binding+version | proposal_workspace/master_content | resolver routes	BD Forms v2	BD UI	proposal snapshots/library tables	PASS	NONE	BD/Content Library; negative=local stale copy is invalid; evidence=fresh BD E2E
AT-028	OWNER_RUN_V2	25 Permit/Authority; lines 977-1000	Permit consumes current authority form and context with Source18 controls.	seam	AuthorityCase/DocumentVersion | source18/preparation | official/packet routes	Source18 tests	permit UI	authority/packet tables	PARTIAL	CL_FORM_AUTHORITY_GAP	Full permit context selection remains Source18/Permit-owned; library supplies governed reusable content only.
AT-029	OWNER_RUN_V2	26 Engineering consumer; lines 1002-1016	Engineering consumes reusable content without stale copies or approval bypass.	seam	EngineeringRevision + MasterContentItem | proposal_workspace/engineering | engineering routes	consumer convergence	engineering UI	engineering/library tables	PASS	NONE	Engineering; negative=library status cannot approve work; evidence=engineering tests
AT-030	OWNER_RUN_V2	27 Finance boundary; lines 1018-1043	Library may provide templates but not Contract Invoice Payment or settlement state.	out-of-scope	finance/contract models | finance/contract services | finance routes	finance tests	finance UI	finance tables	NOT_APPLICABLE	NONE	Finance/Contract; negative=template cannot create payment truth; evidence=finance tests
AT-031	OWNER_RUN_V2	28 Operations/My Work; lines 1045-1067	Library is not a task queue; visible personas remain Owner BD Engineering.	product-decision	capability/work models | backend_realignment | capability routes	RBAC/UI tests	persona UI	work/audit tables	BLOCKED	EVIDENCE_GAP	Platform; negative=persona cannot imply authority; evidence=RBAC tests
AT-032	OWNER_RUN_V2	29 AI assistance; lines 1069-1102	AI may assist but cannot invent publish override RBAC or perform protected actions.	core	AI disabled route + audit | master_content/source18 | ai-assist route	AI adversarial	disabled UI	audit/events	PASS	NONE	Platform/Content Library; negative=AI has no privileged bypass; evidence=AI tests
AT-033	OWNER_RUN_V2	30 Currentness/non-invention; lines 1104-1128	Source rules stay versioned; unknown regulated rule fails closed.	seam	DocumentVersion/governance | master_content/source18 | resolver/packet routes	currentness tests	currentness UI	version metadata	PASS	NONE	Permit/Content Library; negative=unknown cannot become current; evidence=fail-closed tests
AT-034	OWNER_RUN_V2	31 Search/retrieval/Used In; lines 1130-1167	One discovery experience exposes search filters history download and Used In; resolver is selection authority.	core	item/binding/version | master_content/retrieval | master/resolver routes	retrieval/UI tests	Dashboard	item/version/binding tables	PASS	NONE	Content Library; negative=search is not authoritative selection; evidence=retrieval tests
AT-035	OWNER_RUN_V2	32 RBAC capabilities; lines 1169-1197	Server capabilities govern content read/manage/version/source/form/definition/report/engineering/prefill/sensitive access.	core	capability policy | backend_realignment/master_content | guarded APIs	RBAC tests	role-aware UI	audit tables	PASS	NONE	Platform/Content Library; negative=persona is not capability; evidence=API denials
AT-036	OWNER_RUN_V2	33 Audit/lineage; lines 1199-1217	Mutations retain actor change versions reason provenance currentness and impact.	core	AuditEvent/change events | master_content | mutation routes	owner dashboard	owner UI	audit/version tables	PASS	NONE	Content Library; negative=history cannot be erased; evidence=audit tests
AT-037	OWNER_RUN_V2	34 Dependency revalidation; lines 1219-1238	Changed sources identify dependents; historical submitted uses stay pinned.	core	MasterContentDependency | master_content | dependency routes	gap-closure	owner UI	dependency table	PASS	NONE	Content Library/consumers; negative=historical truth cannot silently rewrite; evidence=dependency tests
AT-038	OWNER_RUN_V2	35 Historical reconciliation; lines 1240-1267	Inspect all content-library branches and classify unique behavior; no wholesale merge.	boundary	git refs/docs	branch census	n/a	git history	PASS	NONE	Release governance; negative=historical implementation is not authority; evidence=census/reconciliation
AT-039	OWNER_RUN_V2	36 Migration discipline; lines 1269-1290	Migration needs one parent and isolated synthetic validation; no duplicate canonical tables.	boundary	Alembic graph | alembic | migration CLI	head check	n/a	migration graph	PASS	NONE	Release/DB governance; negative=production DB cannot be target; evidence=isolated head
AT-040	OWNER_RUN_V2	37 UI assurance; lines 1292-1337	UI supports navigation search filters detail edit/version/history provenance currentness accessibility responsive behavior.	core	frontend state | Dashboard/MasterContentForms | library routes	frontend/browser suite	Dashboard	frontend state	PASS	NONE	Content Library; negative=UI cannot expose resolver bypass; evidence=frontend/browser
AT-041	OWNER_RUN_V2	38 Negative matrix; lines 1339-1364	Specified stale authority bypass evidence packet finance persona and AI negatives fail closed.	seam	owning-domain models | owning services | protected APIs	negative suites	owning UIs	owning tables	PARTIAL	CL_TEST_GAP	Cross-domain negative coverage is not fully proven by the pinned-base module slice.
AT-042	OWNER_RUN_V2	39 Positive E2E; lines 1366-1427	Synthetic scenarios A-F cover forms checklist report BD and currentness.	seam	owning-domain models | owning services | consumer APIs	E2E matrix	consumer UIs	owning tables	PARTIAL	CL_TEST_GAP	Full positive scenarios are cross-module acceptance and not proven by the pinned-base module slice.
AT-043	OWNER_RUN_V2	40 Regression suite; lines 1429-1454	Regression covers all named downstream domains and authentication/RBAC.	seam	owning-domain models | owning services | all APIs	cross-module runs	all UIs	all tables	PARTIAL	CL_TEST_GAP	Broad downstream regression requires the final isolated run.
AT-044	OWNER_RUN_V2	41 Gap classification; lines 1456-1489	Classify gaps and analyze launch gate impact.	boundary	gap register | docs only	gap review	n/a	n/a	PASS	NONE	Release governance; negative=module fix cannot mutate launch train; evidence=gap register
AT-045	OWNER_RUN_V2	42 Commit discipline; lines 1491-1525	Keep commits logical and independently promotable.	boundary	git history	git log	n/a	n/a	PASS	NONE	Release governance; negative=no mixed release repair; evidence=commit log
AT-046	OWNER_RUN_V2	43 Acceptance controls; lines 1529-1601	CL01-CL55 use only PASS FAIL BLOCKED NOT_APPLICABLE.	boundary	acceptance docs	acceptance ledger	n/a	n/a	MISSING	EVIDENCE_GAP	The CL01-CL55 acceptance ledger is a run artifact and is not present at audit start.
AT-047	OWNER_RUN_V2	44 Independent acceptance; lines 1603-1621	Each requirement points to concrete code test API persistence UI negative evidence.	boundary	assurance docs	ledger review	n/a	n/a	MISSING	EVIDENCE_GAP	Concrete atomic evidence ledger is a run artifact and is not present at audit start.
AT-048	OWNER_RUN_V2	45 Evidence package; lines 1623-1655	Create durable assurance package under module-assurance/content-library.	boundary	assurance docs	git tree	n/a	Markdown/TSV docs	MISSING	EVIDENCE_GAP	Durable assurance package is a run artifact and is not present at audit start.
AT-049	OWNER_RUN_V2	46 Product decision rule; lines 1657-1675	Do not invent decisions; isolate genuinely Owner-dependent requirements.	boundary	open decisions	review	n/a	decision docs	PASS	NONE	Product governance; negative=unknown authority is not PASS; evidence=decision doc
AT-050	SAFETY_ADDENDUM	Environment safety; lines 260-310	Use isolated DB/synthetic data and fail closed on ambiguous identity.	boundary	isolated DB | pytest/alembic | local test APIs	test commands	local preview	isolated DBs	PASS	NONE	Release governance; negative=real environment cannot be touched; evidence=safety flags
AT-051	FINAL_TRACEABILITY	1 Preserve implementation; lines 15-34	Use explicit implementation assurance and review-head semantics; no self-reference.	boundary	git history/docs	traceability review	n/a	git tree	MISSING	EVIDENCE_GAP	Final traceability artifact is a run artifact and is not present at audit start.
AT-052	FINAL_TRACEABILITY	2 Atomic census; lines 36-76	Every atomic row has exact source locator and implementation/evidence fields.	boundary	atomic TSV	ledger review	n/a	TSV	MISSING	EVIDENCE_GAP	Atomic census reconciliation is a run artifact and is not present at audit start.
AT-053	FINAL_TRACEABILITY	3 Reconcile ledgers; lines 78-108	Separate module-owned open gaps from Owner requirements not fully closed.	boundary	gap/acceptance docs	doc review	Markdown docs	git tree	MISSING	EVIDENCE_GAP	Cross-ledger reconciliation is a run artifact and is not present at audit start.
AT-054	FINAL_TRACEABILITY	4 New module gap; lines 110-124	If new module gap is found prove/correct it; otherwise no application-code change.	core	current implementation	cold review	n/a	git diff	BLOCKED	EVIDENCE_GAP	Cannot classify new-module-gap result until the complete pinned-base audit is finished.
AT-055	FINAL_TRACEABILITY	5 Exact-head validation; lines 126-151	Verify ancestry unchanged release/integration no migration tests and safety.	boundary	git refs | pytest/npm | local tests	final commands	browser	isolated DB	MISSING	EVIDENCE_GAP	Exact-head final validation is a run artifact and is not present at audit start.
AT-056	FINAL_TRACEABILITY	6 Final result; lines 153-203	PASS requires zero orphan zero unsupported implementation and zero module-owned gaps.	boundary	acceptance docs	final report	Markdown docs	git tree	MISSING	EVIDENCE_GAP	Conditional final result is a run artifact and is not present at audit start.
AT-057	OWNER_TRACK_V1	12 Forms library; lines 334-362	Forms list/search/filter/create/update/version/history/download and governance/provenance.	core	MasterContentItem/DocumentVersion | master_content/forms_governance | master routes	owner dashboard	Dashboard/Forms	item/document/version	PASS	NONE	Content Library; negative=missing source cannot be current; evidence=module tests
AT-058	OWNER_TRACK_V1	13 Reports library; lines 364-382	Reports metadata/classification/reference/version/history/currentness/Used In and consumers.	core	REPORT item/version | master_content | master routes	gap-closure	Dashboard	item/version	PASS	NONE	Reports/Content Library; negative=report cannot bind as Form; evidence=module tests
AT-059	OWNER_TRACK_V1	14 Engineering Works; lines 384-401	Engineering source type discipline category version/currentness Used In and consumers.	core	ENGINEERING_WORK item | master_content | eligible/resolver	convergence tests	Engineering UI	item/version/binding	PASS	NONE	Engineering/Content Library; negative=wrong persona/type denied; evidence=consumer tests
AT-060	OWNER_TRACK_V1	15 Definitions; lines 403-420	Definitions have canonical reference description category aliases revision concurrency history visibility.	core	DefinitionEntry/Revision | master_content | definition routes	definition tests	Definitions UI	definition tables	PASS	NONE	Definitions; negative=stale write cannot overwrite; evidence=definition tests
AT-061	OWNER_TRACK_V1	16 Category governance; lines 422-434	Categories enforce allowed types active ordering duplicate prevention RBAC audit.	core	MasterContentCategory | master_content | category routes	gap-closure	category UI	category table	MISSING	CL_API_GAP	Pinned-base audit found allowed-content-type validation absent; direct-child closure candidate is da0ace1.
AT-062	OWNER_TRACK_V1	17 Reference policy; lines 436-452	Reference prefix padding scope uniqueness concurrency and non-renumbering are governed.	core	ReferenceSequence | master_content | policy route	gap-closure	owner UI	sequence table	MISSING	CL_API_GAP	Pinned-base audit found unsafe reference-prefix validation absent; direct-child closure candidate is da0ace1.
AT-063	OWNER_TRACK_V1	18 Used In bindings; lines 454-465	Active module/purpose bindings resolve intended content; inactive invalid bindings are not authority.	core	ModuleBinding | master_content | binding routes	gap-closure	binding UI	binding table	MISSING	CL_API_GAP	Pinned-base audit found content-type/module/purpose binding compatibility enforcement absent; direct-child closure candidate is da0ace1.
AT-064	OWNER_TRACK_V1	19 Purpose resolution; lines 467-477	Purpose resolver supports actual governed purposes only.	core	item/binding/version | master_content | resolver route	resolver tests	resolver UI	binding/version	MISSING	CL_RESOLVER_GAP	Pinned-base audit found invalid purpose values were not rejected at the resolver boundary; direct-child closure candidate is da0ace1.
AT-065	OWNER_TRACK_V1	20 Consumer resolution; lines 479-501	Actual consumers converge through canonical resolver.	seam	item/binding/version | proposal_workspace/master_content | consumer routes	convergence tests	consumer UIs	consumer snapshots	PASS	NONE	Content Library/consumers; negative=consumer cannot select arbitrary stale ID; evidence=consumer map/tests
AT-066	OWNER_TRACK_V1	21 Version history; lines 503-517	New version becomes current while old bytes/metadata/history remain retrievable and audited.	core	DocumentVersion | master_content | version routes	retrieval tests	version UI	document_versions	PASS	NONE	Content Library; negative=overwrite cannot masquerade as versioning; evidence=version tests
AT-067	OWNER_TRACK_V1	22 Dependency impact; lines 519-537	Dependencies pin versions detect change and preserve historical consumers.	core	MasterContentDependency | master_content | dependency routes	gap-closure	owner UI	dependency table	MISSING	CL_RBAC_GAP	Pinned-base audit found dependency write/revalidation capability gates absent; direct-child closure candidate is da0ace1.
AT-068	OWNER_TRACK_V1	23 Governance/provenance/quality; lines 539-571	Governance metadata currentness provenance quality source sections and readiness are authorized/persisted.	core	Governance/Provenance/Quality | forms_governance/master_content | governance routes	governance tests	Forms UI	governance/source tables	PARTIAL	EVIDENCE_GAP	Governance metadata is not substantive professional or authority approval; substantive approval remains owning-domain-owned.
AT-069	OWNER_TRACK_V1	24 Source sections; lines 573-580	Source sections pin document version and reject invalid locators.	core	SourceSection/Provenance | forms_governance | section routes	gap-closure	source UI	source tables	MISSING	CL_API_GAP	Pinned-base audit found incomplete/reversed PAGE_RANGE locators were not rejected; direct-child closure candidate is da0ace1.
AT-070	OWNER_TRACK_V1	25 Retrieval; lines 582-594	Search eligibility role visibility currentness binding purpose readiness constrain retrieval.	core	item/binding/version | master_content/retrieval | eligible/resolver	retrieval quality	Dashboard	item/version	PASS	NONE	Content Library; negative=semantic ranking cannot create authority; evidence=retrieval tests
AT-071	OWNER_TRACK_V1	26 AI assist; lines 596-616	AI cannot approve publish replace authority override RBAC or fabricate provenance.	core	AI disabled endpoint | master_content | ai-assist route	AI tests	disabled UI	audit/events	PASS	NONE	Platform/Content Library; negative=AI protected mutation denied; evidence=AI tests
AT-072	OWNER_TRACK_V1	27 Persona/RBAC; lines 618-645	Owner manages; BD and Engineering read applicable content and cannot write through UI/API.	core	capabilities | backend_realignment/master_content | guarded routes	RBAC tests	persona UI	audit tables	PASS	NONE	Platform/Content Library; negative=forbidden mutation cannot persist; evidence=RBAC tests
AT-073	OWNER_TRACK_V1	28 Sensitive boundary; lines 647-657	Reusable content cannot silently become client/project/PII truth.	seam	governance profile | master_content/governed_prefill | promotion/prefill	adversarial tests	library UI	governance/audit	PASS	NONE	Content Library/Evidence; negative=project data cannot become global master; evidence=boundary tests
AT-074	OWNER_TRACK_V1	29 Storage bytes; lines 659-671	Upload/read/download/version pinning/checksum/source bytes are independently validated.	core	Document/DocumentVersion | storage/master_content | file routes	owner/retrieval	file UI	storage/document	PASS	NONE	Content Library/Storage; negative=DB metadata alone is not bytes; evidence=storage evidence
AT-075	OWNER_TRACK_V1	30 Audit; lines 673-689	Material mutations have actor/entity audit evidence.	core	AuditEvent | master_content | mutation routes	owner dashboard	owner UI	audit tables	PASS	NONE	Content Library; negative=mutation without identity invalid; evidence=audit tests
AT-076	OWNER_TRACK_V1	31 Error/negative matrix; lines 691-712	Invalid stale archived unsafe malformed PII and AI operations reject without state change.	core	library models | master_content/forms_governance | guarded routes	gap-closure	Dashboard	library tables	PASS	NONE	Content Library; negative=failed mutation preserves state; evidence=negative suite
AT-077	OWNER_TRACK_V1	32 UI/UX; lines 714-750	Canonical UI uses Content Library terminology, navigation, states, filters, details, history and accessibility.	core	frontend state | Dashboard/MasterContentForms | library routes	frontend/browser	Dashboard	frontend state	PASS	NONE	Content Library; negative=UI cannot advertise unsafe use; evidence=frontend/browser
AT-078	OWNER_TRACK_V1	38 Persistence verification; lines 865-886	Material UI/API mutation is reopened independently in DB/storage and audit verified.	core	library persistence | master_content/storage | mutation APIs	focused suite	Dashboard	DB/storage/audit	PASS	NONE	Content Library; negative=HTTP success alone insufficient; evidence=persistence evidence
AT-079	OWNER_TRACK_V1	40 Module status versus release; lines 928-935	Module assurance does not mean current production release includes changes.	boundary	git history/docs	git refs	n/a	Markdown docs	PASS	NONE	Release governance; negative=module pass cannot imply release inclusion; evidence=final refs
AT-080	OWNER_RUN_V2	8 OfficialFormVersion ownership; lines 420-470	Decide whether official currentness remains Source18-owned or is exposed as a typed read-only library projection.	seam	DocumentVersion metadata | Source18/current controls | official-form routes	Source18 tests	Source18 UI	DocumentVersion metadata	BLOCKED	CL_FORM_AUTHORITY_GAP	Owner decision on typed read-only OfficialFormVersion projection versus Source18-only exposure is not available in the source set.
AT-081	SAFETY_ADDENDUM	Synthetic evidence boundary; lines 260-310	Synthetic fixtures do not establish real authority, DSM or real AMEC acceptance.	seam	live authority source unavailable	safety review	n/a	n/a	BLOCKED	CL_CURRENTNESS_GAP	Live current authority/DSM/real AMEC evidence is intentionally unavailable in this isolated synthetic run.
