ATOMIC_REQUIREMENT_ID	SOURCE_FILE	SOURCE_HEADING_OR_SECTION	EXACT_SOURCE_LOCATOR	SOURCE_TEXT_OR_BOUNDED_PARAPHRASE	DOMAIN_OWNER	CONTENT_LIBRARY_APPLICABILITY	CURRENT_MODEL	CURRENT_SERVICE	CURRENT_API	CURRENT_UI	CURRENT_PERSISTENCE	CURRENT_TEST	STATUS	GAP	IMPLEMENTATION_ACTION	NEGATIVE_INVARIANT	ACCEPTANCE_EVIDENCE
AT-020	OWNER_RUN_V2	17 Human authority	lines 776-797	Automation cannot sign stamp approve release or submit; exact packet hash binds release.	Permit/Engineering	seam	packet/approval models	source18/engineering	protected action routes	approval UI	approval/packet tables	negative suites	PASS_CURRENT	none	retain	automation cannot acquire authority	protected tests
AT-021	OWNER_RUN_V2	18 Reports	lines 799-832	Reusable report definitions are distinct from Project Technical Reports.	Reports/Engineering	seam	MasterContentItem + report artifacts	master_content/engineering	report routes	report UI	library/project tables	engineering tests	PASS_CURRENT	none	retain	template status is not professional approval	report tests
AT-022	OWNER_RUN_V2	19 Engineering Works	lines 834-861	Reusable Engineering Work defines expectations; Engineering owns approval/baselines.	Engineering	seam	ENGINEERING_WORK item	master_content/engineering	engineering routes	engineering UI	library/engineering tables	consumer convergence	PASS_CURRENT	none	retain	approval-required is not approved	engineering tests
AT-023	OWNER_RUN_V2	20 Definitions	lines 863-884	Definitions are structured governed searchable current and revisioned.	Definitions	core	DefinitionEntry/Revision	master_content	definition routes	Definitions UI	definition tables	definition tests	PASS_CURRENT	none	retain	old revision remains immutable	definition tests
AT-024	OWNER_RUN_V2	21 Letterhead/correspondence	lines 886-918	Library may own reusable letterhead; organization facts and correspondence stay elsewhere.	Correspondence/Org	seam	Form/DocumentVersion	master_content/construction	master/correspondence routes	library/correspondence UI	library/correspondence tables	construction tests	PARTIAL_CURRENT	dedicated letterhead adapter not proven	retain template boundary	letterhead cannot become correspondence record	ownership review
AT-025	OWNER_RUN_V2	22 Drawing approval	lines 920-937	Exact client-approved drawing revision belongs to Engineering/Project.	Engineering/Project	out-of-scope	EngineeringRevision/ApprovedDesignBaseline	engineering	engineering routes	engineering UI	engineering tables	engineering tests	OUT_OF_SCOPE	no duplicate baseline	seam documentation	library content cannot equal approved drawing	engineering tests
AT-026	OWNER_RUN_V2	23 Handover	lines 939-952	Library may supply handover templates; Handover owns delivery state.	Handover	out-of-scope	Handover models	handover	handover routes	handover UI	handover tables	handover tests	OUT_OF_SCOPE	no duplicate state	seam documentation	template cannot accept handover	consumer tests
AT-027	OWNER_RUN_V2	24 Proposal/BD	lines 954-975	Proposal templates and methodology resolve through canonical service; BD cannot write.	BD/Content Library	core	item+binding+version	proposal_workspace/master_content	resolver routes	BD UI	proposal snapshots/library tables	BD Forms v2	PASS_CURRENT	none	retain	local stale copy is invalid	fresh BD E2E
AT-028	OWNER_RUN_V2	25 Permit/Authority	lines 977-1000	Permit consumes current authority form and context with Source18 controls.	Permit/Source18	seam	AuthorityCase/DocumentVersion	source18/preparation	official/packet routes	permit UI	authority/packet tables	Source18 tests	PARTIAL_CURRENT	full context selection remains owner-domain	retain seam	internal/stale form cannot be authority source	permit tests
AT-029	OWNER_RUN_V2	26 Engineering consumer	lines 1002-1016	Engineering consumes reusable content without stale copies or approval bypass.	Engineering	seam	EngineeringRevision + MasterContentItem	proposal_workspace/engineering	engineering routes	engineering UI	engineering/library tables	consumer convergence	PASS_CURRENT	none	retain	library status cannot approve work	engineering tests
AT-030	OWNER_RUN_V2	27 Finance boundary	lines 1018-1043	Library may provide templates but not Contract Invoice Payment or settlement state.	Finance/Contract	out-of-scope	finance/contract models	finance/contract services	finance routes	finance UI	finance tables	finance tests	OUT_OF_SCOPE	no duplicate state	seam documentation	template cannot create payment truth	finance tests
AT-031	OWNER_RUN_V2	28 Operations/My Work	lines 1045-1067	Library is not a task queue; visible personas remain Owner BD Engineering.	Platform	product-decision	capability/work models	backend_realignment	capability routes	persona UI	work/audit tables	RBAC/UI tests	PRODUCT_DECISION_REQUIRED	admin persona/workflow semantics need decision	retain capability model	persona cannot imply authority	RBAC tests
AT-032	OWNER_RUN_V2	29 AI assistance	lines 1069-1102	AI may assist but cannot invent publish override RBAC or perform protected actions.	Platform/Content Library	core	AI disabled route + audit	master_content/source18	ai-assist route	disabled UI	audit/events	AI adversarial	PASS_CURRENT	none	retain	AI has no privileged bypass	AI tests
AT-033	OWNER_RUN_V2	30 Currentness/non-invention	lines 1104-1128	Source rules stay versioned; unknown regulated rule fails closed.	Permit/Content Library	seam	DocumentVersion/governance	master_content/source18	resolver/packet routes	currentness UI	version metadata	currentness tests	PASS_CURRENT	none	retain	unknown cannot become current	fail-closed tests
AT-034	OWNER_RUN_V2	31 Search/retrieval/Used In	lines 1130-1167	One discovery experience exposes search filters history download and Used In; resolver is selection authority.	Content Library	core	item/binding/version	master_content/retrieval	master/resolver routes	Dashboard	item/version/binding tables	retrieval/UI tests	PASS_CURRENT	none	retain	search is not authoritative selection	retrieval tests
AT-035	OWNER_RUN_V2	32 RBAC capabilities	lines 1169-1197	Server capabilities govern content read/manage/version/source/form/definition/report/engineering/prefill/sensitive access.	Platform/Content Library	core	capability policy	backend_realignment/master_content	guarded APIs	role-aware UI	audit tables	RBAC tests	PASS_CURRENT	none	retain	persona is not capability	API denials
AT-036	OWNER_RUN_V2	33 Audit/lineage	lines 1199-1217	Mutations retain actor change versions reason provenance currentness and impact.	Content Library	core	AuditEvent/change events	master_content	mutation routes	owner UI	audit/version tables	owner dashboard	PASS_CURRENT	none	retain	history cannot be erased	audit tests
AT-037	OWNER_RUN_V2	34 Dependency revalidation	lines 1219-1238	Changed sources identify dependents; historical submitted uses stay pinned.	Content Library/consumers	core	MasterContentDependency	master_content	dependency routes	owner UI	dependency table	gap-closure	PASS_CURRENT	none	capabilities and checks	historical truth cannot silently rewrite	dependency tests
AT-038	OWNER_RUN_V2	35 Historical reconciliation	lines 1240-1267	Inspect all content-library branches and classify unique behavior; no wholesale merge.	Release governance	boundary	git refs/docs	n/a	n/a	n/a	git history	branch census	PASS_CURRENT	none	semantic reconciliation	historical implementation is not authority	census/reconciliation
AT-039	OWNER_RUN_V2	36 Migration discipline	lines 1269-1290	Migration needs one parent and isolated synthetic validation; no duplicate canonical tables.	Release/DB governance	boundary	Alembic graph	alembic	migration CLI	n/a	migration graph	head check	PASS_CURRENT	none	no migration	production DB cannot be target	isolated head
AT-040	OWNER_RUN_V2	37 UI assurance	lines 1292-1337	UI supports navigation search filters detail edit/version/history provenance currentness accessibility responsive behavior.	Content Library	core	frontend state	Dashboard/MasterContentForms	library routes	Dashboard	frontend state	frontend/browser suite	PASS_CURRENT	none	retain	UI cannot expose resolver bypass	frontend/browser
AT-041	OWNER_RUN_V2	38 Negative matrix	lines 1339-1364	Specified stale authority bypass evidence packet finance persona and AI negatives fail closed.	All owning domains	seam	owning-domain models	owning services	protected APIs	owning UIs	owning tables	negative suites	PARTIAL_CURRENT	cross-domain negatives remain owner acceptance	map to owner tests	negative rejection preserves state	negative matrix
AT-042	OWNER_RUN_V2	39 Positive E2E	lines 1366-1427	Synthetic scenarios A-F cover forms checklist report BD and currentness.	All owning domains	seam	owning-domain models	owning services	consumer APIs	consumer UIs	owning tables	E2E matrix	PARTIAL_CURRENT	full scenarios are cross-module acceptance	preserve seams	synthetic pass is not real-data acceptance	positive matrix
AT-043	OWNER_RUN_V2	40 Regression suite	lines 1429-1454	Regression covers all named downstream domains and authentication/RBAC.	Platform	seam	owning-domain models	owning services	all APIs	all UIs	all tables	cross-module runs	PARTIAL_CURRENT	broad suite needs fresh fixture isolation	record isolated results	module change cannot break canonical IDs	regression doc
AT-044	OWNER_RUN_V2	41 Gap classification	lines 1456-1489	Classify gaps and analyze launch gate impact.	Release governance	boundary	gap register	docs only	n/a	n/a	n/a	gap review	PASS_CURRENT	none	record classifications	module fix cannot mutate launch train	gap register
AT-045	OWNER_RUN_V2	42 Commit discipline	lines 1491-1525	Keep commits logical and independently promotable.	Release governance	boundary	git history	n/a	n/a	n/a	n/a	git log	PASS_CURRENT	none	separate code/docs	no mixed release repair	commit log
AT-046	OWNER_RUN_V2	43 Acceptance controls	lines 1529-1601	CL01-CL55 use only PASS FAIL BLOCKED NOT_APPLICABLE.	Release governance	boundary	acceptance docs	n/a	n/a	n/a	n/a	acceptance ledger	PASS_CURRENT	none	explicit controls	no mostly-pass state	CL ledger
AT-047	OWNER_RUN_V2	44 Independent acceptance	lines 1603-1621	Each requirement points to concrete code test API persistence UI negative evidence.	Release governance	boundary	assurance docs	n/a	n/a	n/a	n/a	ledger review	PASS_CURRENT	none	atomic evidence fields	HTTP 200 alone insufficient	atomic ledger
AT-048	OWNER_RUN_V2	45 Evidence package	lines 1623-1655	Create durable assurance package under module-assurance/content-library.	Release governance	boundary	assurance docs	n/a	n/a	n/a	Markdown/TSV docs	git tree	PASS_CURRENT	none	package expanded	missing artifact is not acceptance	file count/links
AT-049	OWNER_RUN_V2	46 Product decision rule	lines 1657-1675	Do not invent decisions; isolate genuinely Owner-dependent requirements.	Product governance	boundary	open decisions	n/a	n/a	n/a	decision docs	review	PASS_CURRENT	none	record decisions	unknown authority is not PASS	decision doc
AT-050	SAFETY_ADDENDUM	Environment safety	lines 260-310	Use isolated DB/synthetic data and fail closed on ambiguous identity.	Release governance	boundary	isolated DB	pytest/alembic	local test APIs	local preview	isolated DBs	test commands	PASS_CURRENT	none	preserve	real environment cannot be touched	safety flags
AT-051	FINAL_TRACEABILITY	1 Preserve implementation	lines 15-34	Use explicit implementation assurance and review-head semantics; no self-reference.	Release governance	boundary	git history/docs	n/a	n/a	n/a	git tree	traceability review	PASS_CURRENT	none	labels corrected	review head is external	final report
AT-052	FINAL_TRACEABILITY	2 Atomic census	lines 36-76	Every atomic row has exact source locator and implementation/evidence fields.	Release governance	boundary	atomic TSV	n/a	n/a	n/a	TSV	ledger review	PASS_CURRENT	none	79 rows added	no orphan/unsupported row	schema/count check
AT-053	FINAL_TRACEABILITY	3 Reconcile ledgers	lines 78-108	Separate module-owned open gaps from Owner requirements not fully closed.	Release governance	boundary	gap/acceptance docs	n/a	n/a	Markdown docs	git tree	doc review	PASS_CURRENT	none	rollups reconciled	non-PASS cannot become PASS	ledger counts
AT-054	FINAL_TRACEABILITY	4 New module gap	lines 110-124	If new module gap is found prove/correct it; otherwise no application-code change.	Content Library	core	current implementation	n/a	n/a	n/a	git diff	cold review	PASS_CURRENT	no new module gap	no application change	unsupported count zero	gap review
AT-055	FINAL_TRACEABILITY	5 Exact-head validation	lines 126-151	Verify ancestry unchanged release/integration no migration tests and safety.	Release governance	boundary	git refs	pytest/npm	local tests	browser	isolated DB	final commands	PASS_CURRENT	none	final ref validation	integration/release unchanged	head check
AT-056	FINAL_TRACEABILITY	6 Final result	lines 153-203	PASS requires zero orphan zero unsupported implementation and zero module-owned gaps.	Release governance	boundary	acceptance docs	n/a	n/a	Markdown docs	git tree	final report	PASS_CURRENT	none	conditional assurance result	non-PASS owner seams remain explicit	acceptance report
AT-057	OWNER_TRACK_V1	12 Forms library	lines 334-362	Forms list/search/filter/create/update/version/history/download and governance/provenance.	Content Library	core	MasterContentItem/DocumentVersion	master_content/forms_governance	master routes	Dashboard/Forms	item/document/version	owner dashboard	PASS_CURRENT	none	retain	missing source cannot be current	module tests
AT-058	OWNER_TRACK_V1	13 Reports library	lines 364-382	Reports metadata/classification/reference/version/history/currentness/Used In and consumers.	Reports/Content Library	core	REPORT item/version	master_content	master routes	Dashboard	item/version	gap-closure	PASS_CURRENT	none	retain	report cannot bind as Form	module tests
AT-059	OWNER_TRACK_V1	14 Engineering Works	lines 384-401	Engineering source type discipline category version/currentness Used In and consumers.	Engineering/Content Library	core	ENGINEERING_WORK item	master_content	eligible/resolver	Engineering UI	item/version/binding	convergence tests	PASS_CURRENT	none	retain	wrong persona/type denied	consumer tests
AT-060	OWNER_TRACK_V1	15 Definitions	lines 403-420	Definitions have canonical reference description category aliases revision concurrency history visibility.	Definitions	core	DefinitionEntry/Revision	master_content	definition routes	Definitions UI	definition tables	definition tests	PASS_CURRENT	none	retain	stale write cannot overwrite	definition tests
AT-061	OWNER_TRACK_V1	16 Category governance	lines 422-434	Categories enforce allowed types active ordering duplicate prevention RBAC audit.	Content Library	core	MasterContentCategory	master_content	category routes	category UI	category table	gap-closure	PASS_CURRENT	type validation gap closed	validation added	invalid category cannot persist	category negative
AT-062	OWNER_TRACK_V1	17 Reference policy	lines 436-452	Reference prefix padding scope uniqueness concurrency and non-renumbering are governed.	Content Library	core	ReferenceSequence	master_content	policy route	owner UI	sequence table	gap-closure	PASS_CURRENT	unsafe prefix gap closed	validation added	historical refs cannot renumber	policy tests
AT-063	OWNER_TRACK_V1	18 Used In bindings	lines 454-465	Active module/purpose bindings resolve intended content; inactive invalid bindings are not authority.	Content Library	core	ModuleBinding	master_content	binding routes	binding UI	binding table	gap-closure	PASS_CURRENT	compatibility gap closed	binding validation	inactive binding cannot resolve	binding tests
AT-064	OWNER_TRACK_V1	19 Purpose resolution	lines 467-477	Purpose resolver supports actual governed purposes only.	Content Library	core	item/binding/version	master_content	resolver route	resolver UI	binding/version	resolver tests	PASS_CURRENT	no fictional-purpose gap	retain	invalid purpose rejected	purpose tests
AT-065	OWNER_TRACK_V1	20 Consumer resolution	lines 479-501	Actual consumers converge through canonical resolver.	Content Library/consumers	seam	item/binding/version	proposal_workspace/master_content	consumer routes	consumer UIs	consumer snapshots	convergence tests	PASS_CURRENT	no bypass found	retain	consumer cannot select arbitrary stale ID	consumer map/tests
AT-066	OWNER_TRACK_V1	21 Version history	lines 503-517	New version becomes current while old bytes/metadata/history remain retrievable and audited.	Content Library	core	DocumentVersion	master_content	version routes	version UI	document_versions	retrieval tests	PASS_CURRENT	none	retain	overwrite cannot masquerade as versioning	version tests
AT-067	OWNER_TRACK_V1	22 Dependency impact	lines 519-537	Dependencies pin versions detect change and preserve historical consumers.	Content Library	core	MasterContentDependency	master_content	dependency routes	owner UI	dependency table	gap-closure	PASS_CURRENT	mutation authorization gap closed	capabilities/checks	historical consumer not rewritten	dependency tests
AT-068	OWNER_TRACK_V1	23 Governance/provenance/quality	lines 539-571	Governance metadata currentness provenance quality source sections and readiness are authorized/persisted.	Content Library	core	Governance/Provenance/Quality	forms_governance/master_content	governance routes	Forms UI	governance/source tables	governance tests	PARTIAL_CURRENT	metadata is not substantive approval	retain boundary	metadata completeness is not approval	governance tests
AT-069	OWNER_TRACK_V1	24 Source sections	lines 573-580	Source sections pin document version and reject invalid locators.	Content Library/Evidence	core	SourceSection/Provenance	forms_governance	section routes	source UI	source tables	gap-closure	PASS_CURRENT	PAGE_RANGE gap closed	positive range validation	section cannot float to later bytes	locator tests
AT-070	OWNER_TRACK_V1	25 Retrieval	lines 582-594	Search eligibility role visibility currentness binding purpose readiness constrain retrieval.	Content Library	core	item/binding/version	master_content/retrieval	eligible/resolver	Dashboard	item/version	retrieval quality	PASS_CURRENT	none	retain	semantic ranking cannot create authority	retrieval tests
AT-071	OWNER_TRACK_V1	26 AI assist	lines 596-616	AI cannot approve publish replace authority override RBAC or fabricate provenance.	Platform/Content Library	core	AI disabled endpoint	master_content	ai-assist route	disabled UI	audit/events	AI tests	PASS_CURRENT	none	retain	AI protected mutation denied	AI tests
AT-072	OWNER_TRACK_V1	27 Persona/RBAC	lines 618-645	Owner manages; BD and Engineering read applicable content and cannot write through UI/API.	Platform/Content Library	core	capabilities	backend_realignment/master_content	guarded routes	persona UI	audit tables	RBAC tests	PASS_CURRENT	none	retain	forbidden mutation cannot persist	RBAC tests
AT-073	OWNER_TRACK_V1	28 Sensitive boundary	lines 647-657	Reusable content cannot silently become client/project/PII truth.	Content Library/Evidence	seam	governance profile	master_content/governed_prefill	promotion/prefill	library UI	governance/audit	adversarial tests	PASS_CURRENT	none	retain	project data cannot become global master	boundary tests
AT-074	OWNER_TRACK_V1	29 Storage bytes	lines 659-671	Upload/read/download/version pinning/checksum/source bytes are independently validated.	Content Library/Storage	core	Document/DocumentVersion	storage/master_content	file routes	file UI	storage/document	owner/retrieval	PASS_CURRENT	none	retain	DB metadata alone is not bytes	storage evidence
AT-075	OWNER_TRACK_V1	30 Audit	lines 673-689	Material mutations have actor/entity audit evidence.	Content Library	core	AuditEvent	master_content	mutation routes	owner UI	audit tables	owner dashboard	PASS_CURRENT	none	retain	mutation without identity invalid	audit tests
AT-076	OWNER_TRACK_V1	31 Error/negative matrix	lines 691-712	Invalid stale archived unsafe malformed PII and AI operations reject without state change.	Content Library	core	library models	master_content/forms_governance	guarded routes	Dashboard	library tables	gap-closure	PASS_CURRENT	evidenced module negatives closed	negative tests	failed mutation preserves state	negative suite
AT-077	OWNER_TRACK_V1	32 UI/UX	lines 714-750	Canonical UI uses Content Library terminology, navigation, states, filters, details, history and accessibility.	Content Library	core	frontend state	Dashboard/MasterContentForms	library routes	Dashboard	frontend state	frontend/browser	PASS_CURRENT	none	retain	UI cannot advertise unsafe use	frontend/browser
AT-078	OWNER_TRACK_V1	38 Persistence verification	lines 865-886	Material UI/API mutation is reopened independently in DB/storage and audit verified.	Content Library	core	library persistence	master_content/storage	mutation APIs	Dashboard	DB/storage/audit	focused suite	PASS_CURRENT	none	retain	HTTP success alone insufficient	persistence evidence
AT-079	OWNER_TRACK_V1	40 Module status versus release	lines 928-935	Module assurance does not mean current production release includes changes.	Release governance	boundary	git history/docs	n/a	n/a	n/a	Markdown docs	git refs	PASS_CURRENT	none	preserve distinction	module pass cannot imply release inclusion	final refs
AT-080	OWNER_RUN_V2	8 OfficialFormVersion ownership	lines 420-470	Decide whether official currentness remains Source18-owned or is exposed as a typed read-only library projection.	Product governance	seam	DocumentVersion metadata	Source18/current controls	official-form routes	Source18 UI	DocumentVersion metadata	Source18 tests	PRODUCT_DECISION_REQUIRED	ownership/projection choice is unresolved	keep Source18 authoritative pending decision	Content Library cannot duplicate official authority	open decision and current seam
AT-081	SAFETY_ADDENDUM	Synthetic evidence boundary	lines 260-310	Synthetic fixtures do not establish real authority, DSM or real AMEC acceptance.	Owner/Permit governance	seam	live authority source unavailable	n/a	n/a	n/a	n/a	safety review	UNKNOWN	live current authority facts are unavailable by design	obtain controlled owner evidence in a separate run	 synthetic data is not real-data acceptance	safety boundary record
