owner_source,owner_locator,owner_id,owner_requirement,scope,cm_cluster,current_owning_module,current_ui_component,read_path,write_action_path,canonical_producer,api_service,persistence_evidence,authorization_capability,test_evidence,current_result,qualification
Invoice : Contract  2 Module Requiremnents (3).docx,"Table 3, row 2 / INV-01",INV-01,Invoice must be created from the correct Project + service scope,DIRECT,CM12 ServiceEngagement / Service Scope setup,Contract + owning module,ServiceScopeSetup / Handover,GET .../{id}/project-context,POST /api/handover/service-engagements (owning module),Handover ServiceEngagement,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,SERVICE_SCOPE_CREATE (Handover),test_handover_final_closure_bridge.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Invoice : Contract  2 Module Requiremnents (3).docx,"Table 4, row 3 / BILL-02",BILL-02,Supervision invoice should represent the preceding service month,DIRECT,CM12 ServiceEngagement / Service Scope setup,Contract + owning module,ServiceScopeSetup / Handover,GET .../{id}/project-context,POST /api/handover/service-engagements (owning module),Handover ServiceEngagement,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,SERVICE_SCOPE_CREATE (Handover),test_handover_final_closure_bridge.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Invoice : Contract  2 Module Requiremnents (3).docx,"Table 4, row 4 / BILL-03",BILL-03,Design invoices must be triggered by actual contractual/project milestones,BOUNDARY,CM13 Contract→Finance context / invoice trigger,Contract + owning module,Operations & Billing,GET .../{id}/billing-context,Navigation/deep link to Billing; Contract does not mutate invoices/payments,Billing read model,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_READ (Billing owns mutation),test_admin_contract_owner_session.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Invoice : Contract  3 Module Requiremnents (3).docx,"Table 1, row 25 / 24",24,Missing document can remain outstanding,BOUNDARY,CM11 Client document collection / minimum Design handoff readiness,Contract,ContractSourceIntake / MissingDocumentFollowup,GET /api/admin/contracts/{id},POST .../documents/upload; POST .../missing-document-follow-up,DocumentVersion + readiness/work task,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py; test_handover_final_closure_bridge.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Invoice : Contract  3 Module Requiremnents (3).docx,"Table 1, row 33 / 32",32,Missing client document goes to client/owner,BOUNDARY,CM11 Client document collection / minimum Design handoff readiness,Contract,ContractSourceIntake / MissingDocumentFollowup,GET /api/admin/contracts/{id},POST .../documents/upload; POST .../missing-document-follow-up,DocumentVersion + readiness/work task,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py; test_handover_final_closure_bridge.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Invoice : Contract  3 Module Requiremnents (3).docx,"Table 1, row 97 / 96",96,Missing document remains visible as outstanding,BOUNDARY,CM11 Client document collection / minimum Design handoff readiness,Contract,ContractSourceIntake / MissingDocumentFollowup,GET /api/admin/contracts/{id},POST .../documents/upload; POST .../missing-document-follow-up,DocumentVersion + readiness/work task,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py; test_handover_final_closure_bridge.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Invoice : Contract  4 Module Requiremnents (3).docx,"Table 1, row 11 / T1R11",T1R11,Client document request tracking,BOUNDARY,CM11 Client document collection / minimum Design handoff readiness,Contract,ContractSourceIntake / MissingDocumentFollowup,GET /api/admin/contracts/{id},POST .../documents/upload; POST .../missing-document-follow-up,DocumentVersion + readiness/work task,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py; test_handover_final_closure_bridge.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Invoice : Contract  Module Requiremnents (5).docx,"Table 1, row 10 / INV-09",INV-09,Payment schedule is copied exactly from quotation/contract,DIRECT,CM07 Contract terms / payment schedule / deliverables / client inputs,Contract,ContractRevisionEditor / ContractCommitments,GET /api/admin/contracts/{id},PATCH .../{id}; POST .../commercial-terms; .../deliverables; .../client-inputs,ContractRevision-bound commitment rows,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Invoice : Contract  Module Requiremnents (5).docx,"Table 2, row 10 / INV-24",INV-24,Invoice shows complete contract amount,DIRECT,CM07 Contract terms / payment schedule / deliverables / client inputs,Contract,ContractRevisionEditor / ContractCommitments,GET /api/admin/contracts/{id},PATCH .../{id}; POST .../commercial-terms; .../deliverables; .../client-inputs,ContractRevision-bound commitment rows,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Invoice : Contract  Module Requiremnents (5).docx,"Table 2, row 18 / INV-32",INV-32,Remaining contract balance is understandable to client,DIRECT,CM15 Authorization/forms sent with Contract / AI assist,Contract,FormsAndAuthorizations / Intelligence,GET /api/admin/contracts/{id}; GET /api/admin/forms,Content Library owns governed Form mutations,Master Content / Forms projection,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_READ + Content Library policy,test_source15_current_contract_controls.py; test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Invoice : Contract  Module Requiremnents (5).docx,"Table 6, row 15 / INV-82",INV-82,Invoice reference attached to billed milestone,BOUNDARY,CM13 Contract→Finance context / invoice trigger,Contract + owning module,Operations & Billing,GET .../{id}/billing-context,Navigation/deep link to Billing; Contract does not mutate invoices/payments,Billing read model,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_READ (Billing owns mutation),test_admin_contract_owner_session.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Invoice : Contract  Module Requiremnents (5).docx,"Table 14, row 2 / T14R2",T14R2,"Invoice originates from accepted commercial authority; target state is Contract-driven, with any legacy quotation-only route explicitly governed",DIRECT,CM05 Authority / executive review and explicit Contract acceptance,Contract,Review,GET .../{id}/readiness,POST .../authority; POST .../accept,ContractRevision + ContractAcceptance snapshot,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_REVIEW_AUTHORITY / CONTRACT_ACCEPT_AUTHORITY,test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Invoice : Contract  Module Requiremnents (5).docx,"Table 14, row 5 / T14R5",T14R5,Project gets standard commercial/evidence structure and retained source proposal/contract,DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Invoice : Contract  Module Requiremnents (5).docx,"Table 14, row 8 / T14R8",T14R8,"Client, project, contract amount, full payment context, previous paid installments, current requested installment, payable amount numeric + words, bank instructions, dates",DIRECT,CM07 Contract terms / payment schedule / deliverables / client inputs,Contract,ContractRevisionEditor / ContractCommitments,GET /api/admin/contracts/{id},PATCH .../{id}; POST .../commercial-terms; .../deliverables; .../client-inputs,ContractRevision-bound commitment rows,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
Invoice : Contract  Module Requiremnents (5).docx,"Table 14, row 10 / T14R10",T14R10,Project/Design Manager indicates applicable milestone readiness; Accounting prepares invoice from contractual terms,BOUNDARY,CM13 Contract→Finance context / invoice trigger,Contract + owning module,Operations & Billing,GET .../{id}/billing-context,Navigation/deep link to Billing; Contract does not mutate invoices/payments,Billing read model,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_READ (Billing owns mutation),test_admin_contract_owner_session.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Invoice : Contract  Module Requiremnents (5).docx,"Table 14, row 15 / T14R15",T14R15,"Project identity/context, client, PM, currency, contract value, project cost/expenses, status, received, balance, milestone forecasts, invoice references, receipt IDs, actual collections",BOUNDARY,CM13 Contract→Finance context / invoice trigger,Contract + owning module,Operations & Billing,GET .../{id}/billing-context,Navigation/deep link to Billing; Contract does not mutate invoices/payments,Billing read model,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_READ (Billing owns mutation),test_admin_contract_owner_session.py,CROSS_MODULE_PASS,Contract exposes the owning module projection/deep link and does not duplicate that module's canonical state machine.
Invoice : Contract  Module Requiremnents (5).docx,"Table 14, row 16 / T14R16",T14R16,Expected collection dates may change; contractual amount does not; actor/source/history must remain auditable,DIRECT,CM15 Authorization/forms sent with Contract / AI assist,Contract,FormsAndAuthorizations / Intelligence,GET /api/admin/contracts/{id}; GET /api/admin/forms,Content Library owns governed Form mutations,Master Content / Forms projection,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_READ + Content Library policy,test_source15_current_contract_controls.py; test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 1, row 10 / OF-09",OF-09,Downstream office delivery does not start while commercial Proposal is still unaccepted,DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 1, row 11 / OF-10",OF-10,Client may accept through signed Proposal,DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 1, row 12 / OF-11",OF-11,Corporate client may issue PO/LPO instead,DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,FAIL,Contract origin requires accepted Proposal revision; alternate signed Proposal/PO/LPO acceptance path is not implemented.
overall flow(3).docx,"Table 1, row 13 / OF-12",OF-12,Client acceptance evidence must be retained,DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 1, row 14 / OF-13",OF-13,LPO must be checked against AMEC Proposal before downstream Contract,DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 1, row 15 / OF-14",OF-14,Differences such as payment 50% vs 40% must block silent handoff,DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 1, row 16 / OF-15",OF-15,"Client comments/changes require revised commercial review, not silent overwrite",DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 2 / OF-16",OF-16,Contract starts only after accepted Proposal/client commercial response,DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 3 / OF-17",OF-17,Contract uses a controlled standard form/template,DIRECT,CM02 Controlled Contract template / generation,Contract,ContractSourceIntake / Forms,GET /api/admin/contracts/{id},POST /api/admin/contracts/{id}/documents/upload,MasterContentItem + ContractTemplateSnapshot,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py; Content Library tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 4 / OF-18",OF-18,Client/project/payment data are populated from accepted Proposal/commercial data,DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 5 / OF-19",OF-19,AI may assist form population,DIRECT,CM02 Controlled Contract template / generation,Contract,ContractSourceIntake / Forms,GET /api/admin/contracts/{id},POST /api/admin/contracts/{id}/documents/upload,MasterContentItem + ContractTemplateSnapshot,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py; Content Library tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 6 / OF-20",OF-20,Contract preparer checks generated contract,DIRECT,CM02 Controlled Contract template / generation,Contract,ContractSourceIntake / Forms,GET /api/admin/contracts/{id},POST /api/admin/contracts/{id}/documents/upload,MasterContentItem + ContractTemplateSnapshot,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT,test_admin_contract_owner_session.py; Content Library tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 7 / OF-21",OF-21,A second independent reviewer checks Contract against Proposal,DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 8 / OF-22",OF-22,Contract is compared to governing Proposal terms before Executive review,DIRECT,CM01 Proposal→Contract accepted commercial baseline,Contract,ContractRegister / Commercial,GET /api/admin/contracts/{id},POST /api/admin/contracts/from-proposal/{proposal_id}; PATCH /api/admin/contracts/{id},AcceptedProposalRevision + ContractRevision,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EDIT / CONTRACT_READ,test_admin_contract_owner_session.py; proposals-contract tests,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 9 / OF-23",OF-23,Executive Manager performs final review,DIRECT,CM05 Authority / executive review and explicit Contract acceptance,Contract,Review,GET .../{id}/readiness,POST .../authority; POST .../accept,ContractRevision + ContractAcceptance snapshot,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_REVIEW_AUTHORITY / CONTRACT_ACCEPT_AUTHORITY,test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 10 / OF-24",OF-24,Human signing is protected,DIRECT,CM05 Authority / executive review and explicit Contract acceptance,Contract,Review,GET .../{id}/readiness,POST .../authority; POST .../accept,ContractRevision + ContractAcceptance snapshot,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_REVIEW_AUTHORITY / CONTRACT_ACCEPT_AUTHORITY,test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 11 / OF-25",OF-25,Client receives executed copy,DIRECT,CM06 Executed/signed Contract evidence & client delivery,Contract,ContractExecutionHandoff,GET /api/admin/contracts/{id},POST .../executed-evidence; .../client-copy-distribution; .../operations-handoff,DocumentVersion + ContractAdminEvidence,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EXECUTION / CONTRACT_HANDOFF,test_admin_contract_owner_session.py; browser owner hardening,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 12 / OF-26",OF-26,Internal executed Contract copy is retained,DIRECT,CM06 Executed/signed Contract evidence & client delivery,Contract,ContractExecutionHandoff,GET /api/admin/contracts/{id},POST .../executed-evidence; .../client-copy-distribution; .../operations-handoff,DocumentVersion + ContractAdminEvidence,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_EXECUTION / CONTRACT_HANDOFF,test_admin_contract_owner_session.py; browser owner hardening,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
overall flow(3).docx,"Table 2, row 13 / OF-27",OF-27,"Prepared, reviewed, signed states must remain separate",DIRECT,CM05 Authority / executive review and explicit Contract acceptance,Contract,Review,GET .../{id}/readiness,POST .../authority; POST .../accept,ContractRevision + ContractAcceptance snapshot,contract_workspace.py + contract_workspace_routers.py,canonical readback / append-only audit / owning-domain record,CONTRACT_REVIEW_AUTHORITY / CONTRACT_ACCEPT_AUTHORITY,test_admin_contract_owner_session.py,PASS,"Current exact-head Contract service/read model, capability enforcement, persistence/readback, and focused regression evidence cover this row."
